0.021000,0.088500,-0.138000
0.018000,0.091500,-0.136500
0.018000,0.090000,-0.135000
0.021000,0.090000,-0.135000
0.019500,0.090000,-0.133500
0.025500,0.093000,-0.135000
0.022500,0.091500,-0.135000
0.016500,0.090000,-0.136500
0.022500,0.085500,-0.132000
0.019500,0.091500,-0.132000
0.022500,0.088500,-0.133500
0.022500,0.090000,-0.133500
0.021000,0.088500,-0.136500
0.024000,0.090000,-0.136500
0.019500,0.091500,-0.136500
0.022500,0.090000,-0.138000
0.021000,0.090000,-0.138000
0.019500,0.090000,-0.132000
0.021000,0.094500,-0.133500
0.016500,0.090000,-0.139500
0.022500,0.085500,-0.135000
0.022500,0.090000,-0.135000
0.021000,0.093000,-0.135000
0.021000,0.087000,-0.133500
0.021000,0.087000,-0.135000
0.021000,0.091500,-0.138000
0.024000,0.091500,-0.141000
0.019500,0.088500,-0.135000
0.022500,0.090000,-0.136500
0.021000,0.091500,-0.136500
0.021000,0.090000,-0.136500
0.022500,0.090000,-0.135000
0.022500,0.090000,-0.135000
0.018000,0.090000,-0.136500
0.019500,0.087000,-0.139500
0.018000,0.093000,-0.133500
0.021000,0.090000,-0.138000
0.024000,0.088500,-0.138000
0.022500,0.090000,-0.138000
0.022500,0.090000,-0.136500
0.019500,0.087000,-0.136500
0.018000,0.091500,-0.135000
0.021000,0.090000,-0.138000
0.022500,0.091500,-0.138000
0.022500,0.091500,-0.138000
0.019500,0.090000,-0.138000
0.025500,0.088500,-0.133500
0.018000,0.090000,-0.133500
0.021000,0.090000,-0.141000
0.022500,0.087000,-0.136500
0.022500,0.085500,-0.138000
0.019500,0.093000,-0.133500
0.021000,0.090000,-0.138000
0.021000,0.090000,-0.133500
0.024000,0.090000,-0.136500
0.022500,0.090000,-0.138000
0.019500,0.088500,-0.139500
0.021000,0.088500,-0.133500
0.022500,0.090000,-0.133500
0.022500,0.088500,-0.138000
0.018000,0.091500,-0.141000
0.027000,0.090000,-0.135000
0.021000,0.088500,-0.136500
0.021000,0.094500,-0.135000
0.022500,0.087000,-0.138000
0.024000,0.088500,-0.135000
0.018000,0.090000,-0.135000
0.021000,0.090000,-0.133500
0.018000,0.087000,-0.136500
0.021000,0.090000,-0.135000
0.021000,0.090000,-0.136500
0.025500,0.087000,-0.132000
0.021000,0.090000,-0.135000
0.019500,0.090000,-0.136500
0.018000,0.088500,-0.133500
0.022500,0.088500,-0.138000
0.022500,0.087000,-0.138000
0.024000,0.088500,-0.133500
0.022500,0.091500,-0.138000
0.024000,0.090000,-0.136500
0.021000,0.090000,-0.136500
0.019500,0.091500,-0.132000
0.024000,0.090000,-0.135000
0.018000,0.090000,-0.135000
0.022500,0.090000,-0.133500
0.022500,0.091500,-0.138000
0.021000,0.087000,-0.136500
0.024000,0.087000,-0.133500
0.024000,0.087000,-0.136500
0.024000,0.090000,-0.132000
0.024000,0.094500,-0.135000
0.022500,0.093000,-0.133500
0.018000,0.091500,-0.135000
0.022500,0.088500,-0.138000
0.019500,0.088500,-0.132000
0.021000,0.090000,-0.136500
0.024000,0.088500,-0.133500
0.024000,0.087000,-0.136500
0.018000,0.093000,-0.138000
0.018000,0.090000,-0.136500
0.022500,0.090000,-0.138000
0.021000,0.087000,-0.133500
0.024000,0.087000,-0.133500
0.022500,0.090000,-0.136500
0.021000,0.091500,-0.135000
0.019500,0.088500,-0.139500
0.018000,0.093000,-0.133500
0.024000,0.088500,-0.136500
0.018000,0.091500,-0.133500
0.018000,0.088500,-0.133500
0.022500,0.085500,-0.138000
0.021000,0.090000,-0.138000
0.022500,0.093000,-0.136500
0.024000,0.090000,-0.136500
0.022500,0.090000,-0.135000
0.022500,0.090000,-0.136500
0.022500,0.090000,-0.136500
0.022500,0.087000,-0.132000
0.025500,0.084000,-0.138000
0.024000,0.090000,-0.136500
0.021000,0.087000,-0.133500
0.022500,0.087000,-0.133500
0.022500,0.085500,-0.136500
0.019500,0.090000,-0.130500
0.025500,0.090000,-0.136500
0.024000,0.085500,-0.135000
0.019500,0.090000,-0.136500
0.024000,0.091500,-0.136500
0.022500,0.088500,-0.133500
0.021000,0.090000,-0.138000
0.022500,0.088500,-0.135000
0.025500,0.091500,-0.135000
0.022500,0.088500,-0.133500
0.021000,0.090000,-0.135000
0.021000,0.084000,-0.136500
0.022500,0.088500,-0.138000
0.027000,0.091500,-0.132000
0.022500,0.091500,-0.135000
0.019500,0.088500,-0.135000
0.022500,0.088500,-0.135000
0.021000,0.088500,-0.133500
0.024000,0.091500,-0.133500
0.021000,0.085500,-0.135000
0.024000,0.090000,-0.135000
0.018000,0.088500,-0.135000
0.019500,0.085500,-0.141000
0.024000,0.093000,-0.138000
0.019500,0.090000,-0.133500
0.021000,0.087000,-0.135000
0.019500,0.087000,-0.135000
0.025500,0.087000,-0.135000
0.024000,0.088500,-0.133500
0.021000,0.094500,-0.136500
0.022500,0.088500,-0.133500
0.024000,0.087000,-0.138000
0.022500,0.090000,-0.138000
0.021000,0.088500,-0.133500
0.022500,0.090000,-0.138000
0.019500,0.094500,-0.138000
0.027000,0.093000,-0.138000
0.019500,0.094500,-0.138000
0.022500,0.090000,-0.133500
0.022500,0.090000,-0.136500
0.021000,0.090000,-0.136500
0.018000,0.093000,-0.139500
0.018000,0.085500,-0.133500
0.019500,0.087000,-0.135000
0.022500,0.087000,-0.138000
0.022500,0.091500,-0.135000
0.022500,0.090000,-0.139500
0.021000,0.091500,-0.138000
0.025500,0.091500,-0.135000
0.022500,0.088500,-0.133500
0.024000,0.090000,-0.138000
0.022500,0.091500,-0.136500
0.022500,0.093000,-0.136500
0.021000,0.087000,-0.135000
0.022500,0.090000,-0.136500
0.024000,0.090000,-0.135000
0.022500,0.091500,-0.135000
0.024000,0.090000,-0.136500
0.022500,0.090000,-0.138000
0.027000,0.087000,-0.133500
0.015000,0.093000,-0.136500
0.022500,0.090000,-0.133500
0.019500,0.091500,-0.133500
0.019500,0.090000,-0.133500
0.025500,0.091500,-0.132000
0.019500,0.087000,-0.138000
0.022500,0.087000,-0.136500
0.021000,0.091500,-0.138000
0.024000,0.090000,-0.135000
0.021000,0.091500,-0.136500
0.022500,0.090000,-0.133500
0.022500,0.087000,-0.138000
0.027000,0.090000,-0.136500
0.025500,0.090000,-0.136500
0.024000,0.087000,-0.136500
0.022500,0.091500,-0.133500
0.022500,0.090000,-0.133500
0.022500,0.090000,-0.135000
0.018000,0.090000,-0.133500
0.022500,0.090000,-0.133500
0.019500,0.091500,-0.133500
0.022500,0.085500,-0.136500
0.022500,0.087000,-0.133500
0.024000,0.088500,-0.132000
0.022500,0.093000,-0.133500
0.022500,0.091500,-0.132000
0.022500,0.088500,-0.133500
0.019500,0.091500,-0.138000
0.024000,0.091500,-0.135000
0.022500,0.090000,-0.136500
0.024000,0.093000,-0.135000
0.019500,0.088500,-0.135000
0.024000,0.088500,-0.138000
0.022500,0.091500,-0.135000
0.021000,0.088500,-0.133500
0.024000,0.090000,-0.138000
0.019500,0.090000,-0.133500
0.022500,0.091500,-0.136500
0.022500,0.091500,-0.138000
0.022500,0.091500,-0.138000
0.019500,0.088500,-0.133500
0.018000,0.090000,-0.138000
0.024000,0.087000,-0.135000
0.018000,0.091500,-0.136500
0.018000,0.088500,-0.136500
0.019500,0.090000,-0.138000
0.024000,0.090000,-0.135000
0.022500,0.091500,-0.136500
0.019500,0.091500,-0.132000
0.024000,0.090000,-0.139500
0.022500,0.090000,-0.136500
0.022500,0.088500,-0.136500
0.019500,0.085500,-0.133500
0.022500,0.090000,-0.133500
0.024000,0.087000,-0.133500
0.021000,0.088500,-0.135000
0.022500,0.090000,-0.133500
0.022500,0.091500,-0.138000
0.018000,0.087000,-0.133500
0.021000,0.087000,-0.133500
0.021000,0.090000,-0.136500
0.024000,0.088500,-0.138000
0.024000,0.090000,-0.130500
0.021000,0.087000,-0.133500
0.022500,0.094500,-0.133500
0.022500,0.090000,-0.135000
0.018000,0.091500,-0.138000
0.024000,0.090000,-0.133500
0.022500,0.090000,-0.136500
0.022500,0.087000,-0.135000
0.019500,0.087000,-0.135000
0.024000,0.090000,-0.138000
0.018000,0.088500,-0.138000
0.024000,0.085500,-0.136500
0.021000,0.091500,-0.132000
0.025500,0.090000,-0.132000
0.022500,0.094500,-0.133500
0.021000,0.087000,-0.135000
0.021000,0.091500,-0.135000
0.021000,0.088500,-0.130500
0.021000,0.087000,-0.133500
0.019500,0.087000,-0.133500
0.027000,0.090000,-0.132000
0.021000,0.091500,-0.135000
0.022500,0.090000,-0.135000
0.021000,0.093000,-0.133500
0.027000,0.088500,-0.136500
0.021000,0.088500,-0.136500
0.021000,0.090000,-0.133500
0.018000,0.085500,-0.133500
0.024000,0.090000,-0.136500
0.024000,0.085500,-0.132000
0.024000,0.090000,-0.133500
0.021000,0.091500,-0.136500
0.018000,0.090000,-0.133500
0.025500,0.090000,-0.135000
0.021000,0.085500,-0.135000
0.022500,0.090000,-0.136500
0.021000,0.091500,-0.133500
0.024000,0.094500,-0.136500
0.022500,0.090000,-0.135000
0.022500,0.091500,-0.136500
0.027000,0.091500,-0.133500
0.027000,0.088500,-0.133500
0.024000,0.091500,-0.136500
0.024000,0.090000,-0.133500
0.018000,0.090000,-0.133500
0.018000,0.090000,-0.133500
0.019500,0.090000,-0.133500
0.019500,0.093000,-0.135000
0.024000,0.091500,-0.136500
0.018000,0.091500,-0.138000
0.024000,0.090000,-0.133500
0.021000,0.091500,-0.133500
0.021000,0.088500,-0.133500
0.018000,0.094500,-0.136500
0.021000,0.090000,-0.133500
0.019500,0.090000,-0.132000
0.021000,0.090000,-0.133500
0.022500,0.088500,-0.133500
0.022500,0.088500,-0.135000
0.022500,0.088500,-0.133500
0.019500,0.090000,-0.135000
0.022500,0.090000,-0.136500
0.022500,0.090000,-0.135000
0.024000,0.091500,-0.136500
0.022500,0.090000,-0.136500
0.019500,0.090000,-0.141000
0.019500,0.085500,-0.136500
0.021000,0.090000,-0.139500
0.019500,0.088500,-0.133500
0.022500,0.090000,-0.133500
0.021000,0.087000,-0.135000
0.019500,0.087000,-0.135000
0.022500,0.087000,-0.135000
0.018000,0.090000,-0.138000
0.018000,0.085500,-0.138000
0.021000,0.088500,-0.133500
0.022500,0.090000,-0.133500
0.025500,0.091500,-0.138000
0.022500,0.090000,-0.139500
0.019500,0.088500,-0.138000
0.022500,0.087000,-0.138000
0.027000,0.088500,-0.135000
0.019500,0.087000,-0.136500
0.022500,0.088500,-0.138000
0.022500,0.090000,-0.133500
0.019500,0.088500,-0.135000
0.021000,0.088500,-0.133500
0.022500,0.088500,-0.135000
0.022500,0.090000,-0.135000
0.022500,0.088500,-0.135000
0.027000,0.085500,-0.136500
0.021000,0.088500,-0.136500
0.024000,0.088500,-0.135000
0.022500,0.091500,-0.136500
0.024000,0.090000,-0.135000
0.022500,0.088500,-0.136500
0.022500,0.085500,-0.133500
0.022500,0.087000,-0.136500
0.022500,0.090000,-0.132000
0.024000,0.088500,-0.133500
0.021000,0.090000,-0.135000
0.019500,0.090000,-0.138000
0.022500,0.088500,-0.133500
0.022500,0.090000,-0.132000
0.018000,0.091500,-0.135000
0.022500,0.090000,-0.133500
0.018000,0.087000,-0.138000
0.019500,0.087000,-0.135000
0.021000,0.090000,-0.138000
0.018000,0.090000,-0.133500
0.019500,0.091500,-0.133500
0.022500,0.090000,-0.133500
0.024000,0.088500,-0.136500
0.024000,0.088500,-0.136500
0.022500,0.088500,-0.136500
0.021000,0.091500,-0.135000
0.021000,0.091500,-0.133500
0.022500,0.085500,-0.135000
0.022500,0.090000,-0.132000
0.022500,0.088500,-0.133500
0.021000,0.088500,-0.136500
0.022500,0.093000,-0.132000
0.019500,0.090000,-0.135000
0.019500,0.090000,-0.133500
0.021000,0.090000,-0.133500
0.021000,0.087000,-0.133500
0.024000,0.088500,-0.136500
0.024000,0.090000,-0.135000
0.019500,0.090000,-0.136500
0.021000,0.090000,-0.136500
0.021000,0.090000,-0.135000
0.024000,0.091500,-0.138000
0.019500,0.091500,-0.135000
0.019500,0.090000,-0.136500
0.019500,0.087000,-0.135000
0.019500,0.091500,-0.136500
0.022500,0.090000,-0.135000
0.016500,0.091500,-0.133500
0.022500,0.085500,-0.138000
0.019500,0.090000,-0.138000
0.022500,0.090000,-0.132000
0.022500,0.090000,-0.135000
0.024000,0.085500,-0.138000
0.022500,0.090000,-0.135000
0.019500,0.090000,-0.136500
0.021000,0.090000,-0.135000
0.018000,0.090000,-0.133500
0.018000,0.088500,-0.133500
0.019500,0.090000,-0.135000
0.021000,0.091500,-0.138000
0.021000,0.088500,-0.136500
0.022500,0.087000,-0.138000
0.018000,0.091500,-0.138000
0.021000,0.091500,-0.138000
0.024000,0.088500,-0.138000
0.022500,0.088500,-0.138000
0.013500,0.088500,-0.136500
0.021000,0.090000,-0.141000
0.022500,0.090000,-0.138000
0.022500,0.090000,-0.136500
0.022500,0.088500,-0.133500
0.019500,0.088500,-0.133500
0.022500,0.090000,-0.135000
0.021000,0.090000,-0.133500
0.021000,0.090000,-0.135000
0.022500,0.090000,-0.138000
0.019500,0.090000,-0.133500
0.022500,0.090000,-0.136500
0.022500,0.091500,-0.135000
0.019500,0.091500,-0.133500
0.021000,0.085500,-0.133500
0.016500,0.090000,-0.136500
0.022500,0.091500,-0.133500
0.022500,0.090000,-0.138000
0.025500,0.093000,-0.135000
0.022500,0.084000,-0.133500
0.021000,0.088500,-0.136500
0.021000,0.094500,-0.138000
0.019500,0.090000,-0.138000
0.018000,0.090000,-0.135000
0.021000,0.090000,-0.133500
0.019500,0.085500,-0.139500
0.022500,0.090000,-0.135000
0.022500,0.088500,-0.138000
0.022500,0.088500,-0.138000
0.022500,0.088500,-0.135000
0.019500,0.087000,-0.135000
0.018000,0.093000,-0.138000
0.019500,0.090000,-0.135000
0.021000,0.093000,-0.133500
0.022500,0.090000,-0.133500
0.022500,0.085500,-0.138000
0.021000,0.087000,-0.135000
0.021000,0.090000,-0.133500
0.022500,0.090000,-0.138000
0.022500,0.090000,-0.136500
0.019500,0.085500,-0.138000
0.019500,0.090000,-0.133500
0.019500,0.096000,-0.136500
0.019500,0.088500,-0.138000
0.021000,0.090000,-0.130500
0.021000,0.091500,-0.135000
0.022500,0.093000,-0.133500
0.022500,0.087000,-0.136500
0.025500,0.090000,-0.135000
0.024000,0.093000,-0.139500
0.022500,0.094500,-0.135000
0.022500,0.090000,-0.136500
0.027000,0.088500,-0.139500
0.022500,0.093000,-0.136500
0.019500,0.088500,-0.135000
0.022500,0.090000,-0.138000
0.024000,0.087000,-0.138000
0.019500,0.090000,-0.138000
0.022500,0.091500,-0.138000
0.024000,0.090000,-0.138000
0.022500,0.090000,-0.135000
0.021000,0.090000,-0.138000
0.024000,0.091500,-0.135000
0.019500,0.088500,-0.138000
0.022500,0.090000,-0.136500
0.021000,0.093000,-0.138000
0.021000,0.091500,-0.138000
0.018000,0.087000,-0.138000
0.021000,0.085500,-0.136500
0.022500,0.090000,-0.135000
0.022500,0.090000,-0.135000
0.022500,0.085500,-0.133500
0.022500,0.090000,-0.138000
0.016500,0.090000,-0.138000
0.021000,0.087000,-0.136500
0.022500,0.088500,-0.136500
0.021000,0.088500,-0.135000
0.019500,0.088500,-0.133500
0.022500,0.085500,-0.138000
0.018000,0.088500,-0.138000
0.024000,0.090000,-0.138000
0.022500,0.087000,-0.138000
0.019500,0.091500,-0.133500
0.024000,0.090000,-0.135000
0.024000,0.090000,-0.136500
0.024000,0.090000,-0.138000
0.019500,0.085500,-0.133500
0.022500,0.090000,-0.138000
0.019500,0.090000,-0.136500
0.021000,0.090000,-0.135000
0.021000,0.093000,-0.133500
0.021000,0.088500,-0.133500
0.024000,0.088500,-0.133500
0.018000,0.091500,-0.133500
0.021000,0.090000,-0.138000
0.022500,0.087000,-0.135000
0.019500,0.091500,-0.136500
0.018000,0.090000,-0.136500
0.021000,0.091500,-0.136500
0.022500,0.087000,-0.136500
0.018000,0.088500,-0.135000
0.022500,0.088500,-0.139500
0.021000,0.087000,-0.138000
0.018000,0.088500,-0.138000
0.021000,0.094500,-0.135000
0.019500,0.090000,-0.136500
0.025500,0.090000,-0.136500
0.021000,0.088500,-0.135000
0.019500,0.090000,-0.138000
0.021000,0.093000,-0.136500
0.022500,0.090000,-0.138000
0.018000,0.093000,-0.136500
0.021000,0.093000,-0.138000
0.022500,0.093000,-0.138000
0.022500,0.091500,-0.135000
0.019500,0.090000,-0.139500
0.022500,0.093000,-0.141000
0.022500,0.087000,-0.139500
0.022500,0.088500,-0.133500
0.024000,0.094500,-0.141000
0.025500,0.087000,-0.135000
0.022500,0.088500,-0.138000
0.021000,0.088500,-0.136500
0.025500,0.094500,-0.136500
0.022500,0.088500,-0.136500
0.021000,0.087000,-0.135000
0.022500,0.088500,-0.133500
0.021000,0.091500,-0.138000
0.024000,0.090000,-0.136500
0.018000,0.090000,-0.136500
0.022500,0.088500,-0.136500
0.025500,0.090000,-0.136500
0.019500,0.090000,-0.136500
0.021000,0.090000,-0.136500
0.022500,0.093000,-0.135000
0.019500,0.088500,-0.133500
0.018000,0.088500,-0.136500
0.021000,0.090000,-0.138000
0.025500,0.094500,-0.138000
0.018000,0.087000,-0.138000
0.018000,0.090000,-0.133500
0.024000,0.090000,-0.139500
0.024000,0.093000,-0.138000
0.022500,0.091500,-0.138000
0.024000,0.090000,-0.138000
0.019500,0.091500,-0.136500
0.021000,0.090000,-0.141000
0.015000,0.091500,-0.139500
0.022500,0.087000,-0.141000
0.021000,0.090000,-0.139500
0.022500,0.093000,-0.139500
0.022500,0.084000,-0.136500
0.018000,0.091500,-0.138000
0.018000,0.093000,-0.136500
0.021000,0.090000,-0.139500
0.021000,0.091500,-0.132000
0.019500,0.087000,-0.136500
0.021000,0.091500,-0.136500
0.021000,0.088500,-0.139500
0.021000,0.091500,-0.138000
0.022500,0.091500,-0.133500
0.022500,0.085500,-0.136500
0.022500,0.090000,-0.135000
0.019500,0.090000,-0.136500
0.018000,0.090000,-0.138000
0.022500,0.088500,-0.135000
0.022500,0.090000,-0.138000
0.021000,0.088500,-0.138000
0.021000,0.090000,-0.138000
0.021000,0.090000,-0.135000
0.024000,0.090000,-0.133500
0.021000,0.090000,-0.135000
0.022500,0.088500,-0.138000
0.022500,0.088500,-0.133500
0.021000,0.087000,-0.136500
0.022500,0.091500,-0.136500
0.021000,0.090000,-0.135000
0.024000,0.093000,-0.135000
0.021000,0.090000,-0.135000
0.022500,0.087000,-0.138000
0.018000,0.094500,-0.138000
0.021000,0.090000,-0.138000
0.021000,0.091500,-0.133500
0.019500,0.088500,-0.135000
0.016500,0.091500,-0.135000
0.019500,0.090000,-0.136500
0.024000,0.093000,-0.133500
0.018000,0.090000,-0.135000
0.022500,0.090000,-0.139500
0.021000,0.093000,-0.135000
0.019500,0.085500,-0.138000
0.024000,0.090000,-0.138000
0.022500,0.091500,-0.133500
0.022500,0.090000,-0.136500
0.022500,0.090000,-0.141000
0.018000,0.090000,-0.138000
0.022500,0.085500,-0.136500
0.019500,0.090000,-0.133500
0.018000,0.088500,-0.138000
0.019500,0.088500,-0.138000
0.022500,0.085500,-0.136500
0.022500,0.087000,-0.141000
0.019500,0.088500,-0.135000
0.019500,0.090000,-0.138000
0.022500,0.091500,-0.139500
0.021000,0.090000,-0.135000
0.021000,0.090000,-0.136500
0.025500,0.090000,-0.136500
0.022500,0.088500,-0.138000
0.019500,0.093000,-0.138000
0.019500,0.094500,-0.136500
0.021000,0.090000,-0.135000
0.018000,0.085500,-0.136500
0.021000,0.088500,-0.136500
0.018000,0.090000,-0.138000
0.022500,0.090000,-0.139500
0.019500,0.090000,-0.136500
0.022500,0.087000,-0.138000
0.021000,0.087000,-0.138000
0.019500,0.090000,-0.139500
0.022500,0.088500,-0.139500
0.021000,0.087000,-0.138000
0.024000,0.091500,-0.138000
0.022500,0.093000,-0.135000
0.027000,0.085500,-0.138000
0.022500,0.091500,-0.139500
0.022500,0.088500,-0.138000
0.021000,0.088500,-0.136500
0.018000,0.090000,-0.136500
0.021000,0.091500,-0.141000
0.025500,0.088500,-0.135000
0.022500,0.088500,-0.136500
0.022500,0.090000,-0.135000
0.022500,0.088500,-0.136500
0.019500,0.090000,-0.136500
0.021000,0.088500,-0.139500
0.022500,0.088500,-0.132000
0.022500,0.085500,-0.136500
0.021000,0.091500,-0.136500
0.022500,0.090000,-0.135000
0.022500,0.088500,-0.136500
0.024000,0.090000,-0.138000
0.022500,0.091500,-0.138000
0.019500,0.084000,-0.138000
0.024000,0.085500,-0.136500
0.022500,0.087000,-0.136500
0.016500,0.091500,-0.141000
0.022500,0.090000,-0.142500
0.022500,0.091500,-0.141000
0.025500,0.090000,-0.136500
0.022500,0.085500,-0.135000
0.022500,0.090000,-0.138000
0.021000,0.090000,-0.138000
0.021000,0.088500,-0.138000
0.021000,0.087000,-0.136500
0.019500,0.090000,-0.133500
0.022500,0.090000,-0.138000
0.018000,0.088500,-0.138000
0.018000,0.093000,-0.136500
0.019500,0.090000,-0.141000
0.019500,0.087000,-0.135000
0.024000,0.091500,-0.135000
0.021000,0.087000,-0.133500
0.024000,0.093000,-0.136500
0.021000,0.085500,-0.138000
0.022500,0.090000,-0.136500
0.021000,0.090000,-0.133500
0.022500,0.091500,-0.133500
0.018000,0.088500,-0.135000
0.022500,0.090000,-0.136500
0.022500,0.090000,-0.136500
0.021000,0.093000,-0.136500
0.022500,0.091500,-0.133500
0.025500,0.091500,-0.138000
0.022500,0.094500,-0.135000
0.018000,0.087000,-0.133500
0.022500,0.090000,-0.133500
0.018000,0.090000,-0.136500
0.013500,0.090000,-0.136500
0.019500,0.091500,-0.138000
0.021000,0.085500,-0.133500
0.021000,0.090000,-0.139500
0.021000,0.090000,-0.135000
0.016500,0.090000,-0.135000
0.019500,0.087000,-0.136500
0.022500,0.088500,-0.133500
0.022500,0.088500,-0.138000
0.018000,0.088500,-0.136500
0.018000,0.085500,-0.138000
0.018000,0.091500,-0.139500
0.022500,0.090000,-0.138000
0.019500,0.088500,-0.136500
0.021000,0.090000,-0.136500
0.024000,0.087000,-0.138000
0.019500,0.088500,-0.136500
0.024000,0.088500,-0.139500
0.019500,0.087000,-0.136500
0.022500,0.090000,-0.135000
0.018000,0.091500,-0.136500
0.024000,0.087000,-0.141000
0.019500,0.090000,-0.135000
0.018000,0.091500,-0.135000
0.022500,0.090000,-0.136500
0.022500,0.090000,-0.139500
0.024000,0.090000,-0.138000
0.022500,0.088500,-0.138000
0.021000,0.090000,-0.135000
0.022500,0.090000,-0.136500
0.016500,0.088500,-0.139500
0.018000,0.087000,-0.135000
0.019500,0.090000,-0.139500
0.019500,0.087000,-0.136500
0.018000,0.085500,-0.141000
0.019500,0.090000,-0.138000
0.019500,0.088500,-0.139500
0.021000,0.091500,-0.135000
0.022500,0.085500,-0.138000
0.019500,0.087000,-0.136500
0.019500,0.093000,-0.135000
0.021000,0.091500,-0.133500
0.019500,0.085500,-0.138000
0.022500,0.091500,-0.138000
0.019500,0.090000,-0.141000
0.021000,0.088500,-0.138000
0.022500,0.087000,-0.136500
0.021000,0.087000,-0.136500
0.021000,0.090000,-0.133500
0.019500,0.091500,-0.138000
0.022500,0.090000,-0.135000
0.019500,0.088500,-0.136500
0.022500,0.090000,-0.138000
0.021000,0.090000,-0.135000
0.022500,0.091500,-0.139500
0.016500,0.093000,-0.136500
0.018000,0.090000,-0.138000
0.024000,0.087000,-0.135000
0.018000,0.090000,-0.138000
0.021000,0.087000,-0.139500
0.022500,0.087000,-0.139500
0.022500,0.090000,-0.138000
0.025500,0.087000,-0.136500
0.019500,0.087000,-0.139500
0.024000,0.087000,-0.138000
0.019500,0.085500,-0.138000
0.021000,0.090000,-0.138000
0.019500,0.091500,-0.138000
0.019500,0.090000,-0.141000
0.019500,0.088500,-0.133500
0.019500,0.091500,-0.136500
0.019500,0.087000,-0.135000
0.022500,0.087000,-0.135000
0.022500,0.091500,-0.136500
0.019500,0.090000,-0.136500
0.022500,0.090000,-0.133500
0.021000,0.090000,-0.133500
0.021000,0.090000,-0.135000
0.022500,0.090000,-0.135000
0.022500,0.093000,-0.135000
0.021000,0.087000,-0.138000
0.018000,0.088500,-0.141000
0.019500,0.088500,-0.135000
0.019500,0.088500,-0.132000
0.019500,0.093000,-0.139500
0.022500,0.090000,-0.135000
0.022500,0.090000,-0.133500
0.022500,0.088500,-0.138000
0.019500,0.091500,-0.135000
0.022500,0.090000,-0.130500
0.019500,0.090000,-0.135000
0.022500,0.087000,-0.136500
0.022500,0.087000,-0.136500
0.025500,0.091500,-0.133500
0.022500,0.093000,-0.135000
0.022500,0.088500,-0.138000
0.019500,0.090000,-0.136500
0.021000,0.084000,-0.138000
0.021000,0.085500,-0.136500
0.021000,0.093000,-0.135000
0.022500,0.090000,-0.138000
0.022500,0.091500,-0.138000
0.024000,0.093000,-0.136500
0.018000,0.091500,-0.136500
0.024000,0.085500,-0.136500
0.024000,0.090000,-0.138000
0.018000,0.087000,-0.133500
0.021000,0.091500,-0.138000
0.022500,0.088500,-0.135000
0.022500,0.090000,-0.132000
0.018000,0.094500,-0.135000
0.022500,0.087000,-0.133500
0.021000,0.091500,-0.138000
0.018000,0.091500,-0.133500
0.018000,0.088500,-0.135000
0.022500,0.090000,-0.133500
0.021000,0.088500,-0.135000
0.022500,0.088500,-0.133500
0.022500,0.088500,-0.136500
0.021000,0.088500,-0.138000
0.022500,0.093000,-0.136500
0.021000,0.088500,-0.138000
0.027000,0.094500,-0.133500
0.022500,0.091500,-0.133500
0.019500,0.091500,-0.135000
0.022500,0.090000,-0.133500
0.021000,0.087000,-0.138000
0.024000,0.087000,-0.136500
0.021000,0.090000,-0.135000
0.024000,0.088500,-0.136500
0.018000,0.088500,-0.133500
0.021000,0.091500,-0.135000
0.022500,0.091500,-0.135000
0.024000,0.088500,-0.133500
0.018000,0.088500,-0.133500
0.024000,0.087000,-0.135000
0.022500,0.088500,-0.133500
0.022500,0.088500,-0.135000
0.016500,0.090000,-0.136500
0.022500,0.085500,-0.135000
0.021000,0.087000,-0.135000
0.022500,0.090000,-0.135000
0.018000,0.088500,-0.136500
0.024000,0.090000,-0.133500
0.022500,0.090000,-0.136500
0.018000,0.090000,-0.135000
0.021000,0.088500,-0.138000
0.021000,0.087000,-0.135000
0.019500,0.085500,-0.138000
0.025500,0.087000,-0.135000
0.019500,0.090000,-0.135000
0.022500,0.088500,-0.135000
0.019500,0.088500,-0.135000
0.021000,0.085500,-0.133500
0.025500,0.088500,-0.135000
0.018000,0.088500,-0.135000
0.021000,0.088500,-0.139500
0.022500,0.087000,-0.135000
0.022500,0.090000,-0.135000
0.024000,0.087000,-0.135000
0.018000,0.090000,-0.132000
0.025500,0.090000,-0.133500
0.022500,0.090000,-0.133500
0.022500,0.093000,-0.136500
0.027000,0.088500,-0.132000
0.022500,0.094500,-0.135000
0.016500,0.090000,-0.136500
0.027000,0.090000,-0.138000
0.019500,0.090000,-0.135000
0.016500,0.093000,-0.133500
0.022500,0.088500,-0.139500
0.019500,0.088500,-0.138000
0.018000,0.087000,-0.136500
0.021000,0.091500,-0.136500
0.022500,0.090000,-0.136500
0.019500,0.088500,-0.133500
0.019500,0.091500,-0.133500
0.021000,0.088500,-0.136500
0.022500,0.091500,-0.135000
0.022500,0.087000,-0.136500
0.018000,0.085500,-0.136500
0.019500,0.090000,-0.132000
0.018000,0.094500,-0.138000
0.022500,0.088500,-0.135000
0.021000,0.085500,-0.136500
0.018000,0.091500,-0.138000
0.018000,0.091500,-0.136500
0.018000,0.088500,-0.133500
0.022500,0.090000,-0.135000
0.022500,0.090000,-0.133500
0.019500,0.090000,-0.138000
0.025500,0.090000,-0.139500
0.022500,0.087000,-0.133500
0.019500,0.085500,-0.136500
0.022500,0.088500,-0.135000
0.019500,0.090000,-0.136500
